v,p,t,w,a,h,cruise
228.7328,16.71947,-13.75761,38952.98438,1.49843,15505.31836,1
229.45296,16.71959,-13.75727,38952.10938,1.46951,15505.14355,1
230.16426,16.7197,-13.75693,38951.24609,1.44115,15504.97266,1
230.86919,16.71982,-13.75659,38950.37109,1.41322,15504.80273,1
231.56564,16.71993,-13.75626,38949.5,1.38588,15504.63477,1
232.25433,16.72005,-13.75593,38948.625,1.35896,15504.46582,1
232.93697,16.72016,-13.7556,38947.75781,1.33303,15504.30078,1
233.61075,16.72027,-13.75527,38946.88281,1.30714,15504.1377,1
234.27197,16.72038,-13.75495,38946.01172,1.28183,15503.97559,1
234.93501,16.72049,-13.75463,38945.13281,1.25692,15503.81445,1
235.58482,16.72059,-13.75432,38944.26562,1.23264,15503.65527,1
236.22838,16.7207,-13.75401,38943.39062,1.20872,15503.5,1
236.86449,16.7208,-13.75371,38942.95312,1.18533,15503.34668,1
237.49429,16.72091,-13.75341,38942.07422,1.16226,15503.19531,1
238.11546,16.72101,-13.75312,38941.19922,1.13969,15503.04688,1
238.73091,16.72111,-13.75282,38940.32422,1.11769,15502.89941,1
239.34239,16.72121,-13.75254,38939.44922,1.09583,15502.75391,1
239.94585,16.7213,-13.75225,38938.57812,1.07428,15502.60938,1
240.54181,16.7214,-13.75198,38937.70312,1.0531,15502.46973,1
241.12859,16.72149,-13.7517,38936.82812,1.03265,15502.33203,1
241.71292,16.72158,-13.75143,38935.94922,1.01223,15502.19629,1
242.29253,16.72168,-13.75116,38935.07422,0.99232,15502.05957,1
242.86121,16.72177,-13.75091,38934.20312,0.97286,15501.92871,1
243.42604,16.72185,-13.75065,38933.32812,0.95363,15501.79688,1
243.98575,16.72194,-13.75039,38932.45312,0.93461,15501.66895,1
244.53777,16.72203,-13.75014,38931.57422,0.91596,15501.54297,1
245.08369,16.72211,-13.74989,38930.70703,0.89773,15501.41797,1
245.62112,16.72219,-13.74965,38929.83594,0.87988,15501.2959,1
246.15704,16.72228,-13.74941,38928.95703,0.86214,15501.17578,0
246.68188,16.72235,-13.74918,38928.08203,0.84477,15501.05664,0
247.20235,16.72243,-13.74895,38927.21094,0.82789,15500.94141,0
247.72009,16.72251,-13.74872,38926.33984,0.81111,15500.82617,0
248.22917,16.72259,-13.7485,38925.46875,0.79468,15500.71387,0
248.73518,16.72266,-13.74829,38924.59375,0.78082,15500.60352,0
249.23378,16.72272,-13.7481,38923.72656,0.76535,15500.51367,0
249.72659,16.72277,-13.74797,38922.84766,0.74907,15500.44824,0
250.21413,16.7228,-13.74789,38921.96875,0.73252,15500.40332,0
250.69388,16.72282,-13.74782,38921.08984,0.7164,15500.37012,0
251.17126,16.72284,-13.74776,38920.21094,0.70056,15500.33789,0
251.64201,16.72287,-13.74768,38919.33984,0.68546,15500.2998,0
252.10884,16.7229,-13.74758,38918.46094,0.67106,15500.24805,0
252.56787,16.72295,-13.74746,38917.58984,0.65717,15500.1875,0
253.02678,16.723,-13.74732,38916.71094,0.64348,15500.11328,0
253.47641,16.72305,-13.74716,38915.83594,0.63004,15500.0332,0
253.91985,16.72311,-13.74699,38914.95703,0.61711,15499.94824,0
254.36264,16.72317,-13.74681,38914.08594,0.60397,15499.86035,0
254.8007,16.72322,-13.74664,38913.21094,0.59102,15499.77344,0
255.23051,16.72328,-13.74647,38912.33594,0.57828,15499.68945,0
255.65784,16.72334,-13.74631,38911.46094,0.56567,15499.60547,0
256.0787,16.72339,-13.74615,38910.58594,0.5532,15499.52539,0
256.49683,16.72345,-13.74599,38909.71094,0.54069,15499.44727,0
256.90811,16.7235,-13.74584,38908.83203,0.52863,15499.37012,0
257.31412,16.72355,-13.74569,38907.95703,0.51679,15499.29297,0
257.71585,16.7236,-13.74554,38907.07812,0.50512,15499.21777,0
258.1152,16.72365,-13.74539,38906.20312,0.49362,15499.14258,0
258.50751,16.7237,-13.74524,38905.32812,0.48231,15499.06738,0
258.89871,16.72375,-13.74509,38904.44922,0.47112,15498.99023,0
259.28409,16.72381,-13.74495,38903.57031,0.46015,15498.91699,0
259.66342,16.72386,-13.7448,38902.69141,0.44974,15498.8418,0
260.03729,16.7239,-13.74468,38901.81641,0.44976,15498.78223,0
260.40311,16.72389,-13.74471,38900.94922,0.5,15498.7998,0
260.54092,16.72263,-13.74839,38900.07422,1.3616,15500.71875,0
260.26364,16.71617,-13.76725,38899.19531,1.38835,15510.35156,0
259.63712,16.70407,-13.80258,38898.32422,0.99979,15528.30469,0
258.79568,16.68771,-13.85037,38897.44922,1.27354,15552.54004,0
257.67078,16.66693,-13.91108,38896.58203,1.06944,15583.30859,0
256.36176,16.64256,-13.98233,38895.70703,1.1005,15619.38477,0
254.84982,16.61493,-14.06313,38894.83594,1.07805,15660.2832,0
253.20099,16.58475,-14.15145,38893.96875,1.03975,15704.99023,0
251.49451,16.5536,-14.24264,38893.09375,1.04366,15751.12207,0
249.62636,16.51939,-14.34286,38892.22656,0.94386,15801.8418,0
247.75568,16.48455,-14.44498,38891.35938,0.87226,15853.45117,0
245.86742,16.44943,-14.54803,38890.49609,1.1707,15905.55176,0
243.89655,16.41368,-14.65296,38889.63672,1.10536,15958.63379,0
241.91248,16.37712,-14.76032,38888.77344,1.02613,16012.91504,0
239.9846,16.34107,-14.8663,38887.91797,1.01537,16066.4873,0
238.1339,16.30596,-14.96955,38887.0625,1.01691,16118.67969,0
236.3683,16.27194,-15.06967,38886.20312,1.0308,16169.28027,0
234.7081,16.23925,-15.16595,38885.34766,1.05018,16217.94141,0
233.1653,16.20807,-15.25781,38884.49219,1.05815,16264.35352,0
231.76349,16.17879,-15.34414,38883.63672,1.09185,16307.97559,0
230.50539,16.15146,-15.42475,38882.79297,1.17647,16348.72656,0
229.37383,16.1261,-15.4996,38881.94531,1.26313,16386.51953,0
228.34853,16.10215,-15.57032,38881.09766,1.3081,16422.24609,0
227.42586,16.07978,-15.63639,38880.25,1.4708,16455.62695,0
226.54962,16.05853,-15.6992,38879.40234,1.69743,16487.38672,0
225.66681,16.03754,-15.76124,38878.55078,1.75764,16518.75781,0
224.79689,16.01663,-15.8231,38877.70703,1.75739,16550.03516,0
223.95242,15.99589,-15.88443,38876.86328,1.76249,16581.04883,0
223.14949,15.97574,-15.94409,38876.02344,1.79826,16611.19531,0
222.38367,15.95608,-16.00229,38875.18359,1.86571,16640.62109,0
221.64241,15.93679,-16.05942,38874.76172,1.86753,16669.5,0
220.88809,15.91771,-16.11597,38873.92188,2.2332,16698.09375,0
220.04117,15.89795,-16.17455,38873.08594,2.30655,16727.71875,0
219.11813,15.8771,-16.23636,38872.25391,2.30281,16759.00586,0
218.13829,15.8554,-16.30071,38871.41797,2.33733,16791.56055,0
217.0824,15.83302,-16.36714,38870.57812,2.51442,16825.15234,0
215.94418,15.80957,-16.43677,38869.74219,2.50414,16860.37891,0
214.75984,15.78547,-16.50835,38868.90625,2.53404,16896.58594,0
213.58495,15.76072,-16.58188,38868.07812,1.90785,16933.75977,0
212.70293,15.73783,-16.64993,38867.25,1.50621,16968.09961,0
212.16022,15.71883,-16.70646,38866.42188,1.43192,16996.62305,0
211.97507,15.70403,-16.7505,38865.59766,1.37789,17018.79883,0
212.15347,15.69375,-16.78106,38864.76172,1.38713,17034.17383,0
212.68767,15.68804,-16.79806,38863.93359,1.38137,17042.68359,0
213.56502,15.68683,-16.80167,38863.10156,1.39126,17044.43164,0
214.75902,15.68994,-16.79241,38862.28125,1.37911,17039.66992,0
216.29919,15.69739,-16.77026,38861.45312,1.02463,17028.38672,0
218.10023,15.70941,-16.73448,38860.62109,2.02752,17010.23633,0
219.85541,15.72299,-16.69407,38859.79297,2.38907,16989.80273,0
221.39304,15.73582,-16.65592,38858.96484,2.95121,16970.54883,0
