time,v_a,v_g,prs,tmp,lat,lon,alt_r,alt_i,payld,fuel,curr_w,cg,gear
5896.376,13.92628,14.074721,29.611301,0.011650399,42.73739,-73.80426,0.2458514,279.11,706.86005,314.76834,2660.6282,0.0032480857,889.1642
5896.576,14.713298,14.864458,29.611307,0.011662232,42.737404,-73.80426,0.24126568,279.104,706.86005,314.7488,2660.6086,0.0032480857,883.6183
5896.7764,15.492311,15.647742,29.611307,0.011661043,42.737415,-73.80426,0.23509467,279.1046,706.86005,314.7488,2660.6086,0.0032480857,896.88715
5896.9766,16.264471,16.427094,29.611301,0.011654756,42.73743,-73.80426,0.24041948,279.1078,706.86005,314.7488,2660.6086,0.0032480857,895.0943
5897.177,17.037983,17.203524,29.611303,0.0116572315,42.737446,-73.80427,0.24636474,279.10654,706.86005,314.7488,2660.6086,0.0032480857,869.5055
5897.377,17.798754,17.973787,29.611301,0.0116560925,42.73746,-73.80427,0.23840074,279.10712,706.86005,314.7488,2660.6086,0.0032480857,858.37787
5897.577,18.561707,18.7392,29.611296,0.011636637,42.73748,-73.80427,0.23565151,279.11694,706.86005,314.72928,2660.589,0.0032480857,860.8691
5897.7773,19.320171,19.501661,29.611282,0.011619162,42.7375,-73.80427,0.24573506,279.1258,706.86005,314.72928,2660.589,0.0032480857,844.3119
5897.978,20.080826,20.262167,29.61128,0.011608468,42.737514,-73.80427,0.24030562,279.1312,706.86005,314.72928,2660.589,0.0032480857,834.6447
5898.178,20.831541,21.014038,29.611263,0.0115791615,42.737534,-73.80427,0.23428416,279.14603,706.86005,314.72928,2660.589,0.0032480857,843.4415
5898.3784,21.573357,21.762678,29.611248,0.011548468,42.737556,-73.80427,0.24615332,279.16153,706.86005,314.72928,2660.589,0.0032480857,825.6825
5898.5786,22.318264,22.507246,29.611238,0.011527428,42.737576,-73.80427,0.23948188,279.17218,706.86005,314.72928,2660.589,0.0032480857,817.78577
