time,vind_kias,prs,tmp,alt_msl,curr_w
2845.19702,61.08895,30.08739,15.02342,867.15552,2364.08521
2845.39697,61.60423,30.08743,15.0235,867.11414,2364.08521
2845.59668,62.13634,30.08748,15.0236,867.0625,2364.08521
2845.79712,62.66813,30.08754,15.02371,867.0072,2364.08521
2845.99658,63.15806,30.08758,15.0238,866.96497,2364.08521
2846.20679,63.65041,30.0876,15.02384,866.94604,2364.06641
0,0,0,0,0,0
2880.99219,0.51214,30.08735,15.02334,867.19891,2548.53442
2881.19263,0.51214,30.08735,15.02334,867.19934,2548.53442
2881.39307,0.72429,30.08735,15.02334,867.19983,2548.53442
2881.59326,0.88708,30.08735,15.02334,867.20032,2548.52319
2881.79395,1.02431,30.08735,15.02334,867.20105,2548.52319
2881.99414,1.25453,30.08735,15.02333,867.20172,2548.52319
2882.19458,1.44862,30.08735,15.02333,867.20245,2548.52319
2882.39502,1.7742,30.08735,15.02333,867.20306,2548.52319
2882.59619,2.04867,30.08735,15.02333,867.20386,2548.51001
2882.7959,2.40229,30.08735,15.02333,867.20465,2548.51001
2882.99609,2.80528,30.08734,15.02333,867.20575,2548.51001
2883.19629,3.23926,30.08734,15.02332,867.20703,2548.51001
2883.39648,3.69333,30.08734,15.02332,867.20868,2548.51001
2883.59644,4.16092,30.08734,15.02332,867.21063,2548.49463
2883.79712,4.69415,30.08734,15.02331,867.21307,2548.49463
2883.99658,5.24823,30.08733,15.02331,867.21606,2548.49463
2884.19629,5.7946,30.08733,15.0233,867.21967,2548.49463
2884.39697,6.39707,30.08732,15.02329,867.22388,2548.49463
2884.59619,7.0039,30.08732,15.02328,867.229,2548.47803
2884.79614,7.64842,30.08731,15.02327,867.23456,2548.47803
2884.99658,8.3061,30.08731,15.02326,867.2406,2548.47803
2885.19604,8.98866,30.0873,15.02325,867.24683,2548.47803
2885.39673,9.67729,30.08729,15.02323,867.25323,2548.47803
2885.60669,10.42125,30.08729,15.02322,867.2608,2548.46021
2885.80688,11.17438,30.08728,15.0232,867.27002,2548.46021
2885.99658,11.82452,30.08727,15.02318,867.28064,2548.46021
2886.19678,12.55617,30.08725,15.02315,867.29425,2548.46021
2886.39624,13.27715,30.08724,15.02313,867.30896,2548.46021
2886.59644,14.0172,30.08722,15.0231,867.32208,2548.44214
2886.79663,14.75568,30.08721,15.02308,867.33258,2548.44214
2886.99658,15.50976,30.08721,15.02306,867.34314,2548.44214
2887.19702,16.26113,30.08719,15.02303,867.35834,2548.44214
2887.39648,17.00244,30.08717,15.02299,867.37866,2548.44214
2887.6062,17.80876,30.08715,15.02295,867.3988,2548.42383
2887.80615,18.57306,30.08714,15.02292,867.40948,2548.42383
2888.00684,19.34785,30.08713,15.02291,867.41663,2548.42383
2888.20654,20.06011,30.08712,15.02289,867.42963,2548.42383
2888.39648,20.7669,30.0871,15.02285,867.44702,2548.42383
2888.59619,21.50537,30.08709,15.02283,867.45648,2548.40552
2888.79614,22.26059,30.08709,15.02283,867.45428,2548.40552
2888.99683,22.99673,30.08709,15.02283,867.45575,2548.40552
2889.19653,23.73766,30.08708,15.02282,867.46289,2548.40552
2889.39648,24.48296,30.08709,15.02282,867.45844,2548.40552
2889.59619,25.22184,30.0871,15.02285,867.44482,2548.38721
